References	Qty	Description	Part Number	Part Number	Digikey	Mouser	RS	Newark	Farnell
C1, C7	2	22uF MLCC 1206	TDK C3216X5R0J226M160AA	AVX 12066C226KAT2A	445-1427-1-ND	C3216X5R1A226M160AC	7407603	04X3299	1657942
C2, C5, C6	3	0.1µF MLCC 0603	TDK C1608X5R1H104K080AA		445-7456-1-ND	RK73H1JTTD1501F	6316430	04X3251	2211177
C3	1	10nF MLCC 0603	TDK C1608C0G1H103J080AA	Kemet C0603S103K3RACTU	445-7404-1-ND	C0603C103K5RACAUTO	7235733	55T0080	2522430
C4	1	4.7µF MLCC 0805	TDK C2012X5R1A476M125AC		445-8239-1-ND	C2012X5R1A476M125AC	7883029	53W0140	2211186
L1	1	22µH 4mm	Abracon ASPI-0418FS-220M	Bourns SRN4018-220M	535-10764-1-ND	815-ASPI418FS220MT3	7729723	54W0060	2329218
L2	1	10µH 1008	TDK MLP2520S100ST0S1		445-9507-1-ND	MLP2520S100ST0S1	8007715	31Y5158	
P1, P2, P3	3	2.54mm 2 pin header	TE Connectivity 640456-2		A19450-ND	6404552	7560880	98F1853	5408453
R1	1	Resistor 7.87M 0603	Samsung Electro-Mechanics RC1608F7874CS	Vishay CRCW06037M87FK	1276-4983-1-ND	CRCW06037M87FKEA		51P0328	2138716
R2	1	Resistor 6.04M 0603	Vishay CRCW06036M04FK		541-6.04MHCT-ND	CRCW06036M04FKEA		27W4312	2138702
R3	1	Resistor 0.698M 0603	Vishay CRCW0603698KFK		541-698KHCT-ND	CRCW0603698KFKEA		42K4000	2138589
R4	1	Resistor 8.06M 0603	Vishay CRCW06038M06FK		541-8.06MHCT-ND	CRCW06038M06FKEA		51P0332	2138717
R5	1	Resistor 4.22M 0603	Samsung Electro-Mechanics RC1608F4224CS	Vishay CRCW06034M22FK	1276-4967-1-ND	71CRCW06034M22FKEA		51P0279	2138681
R6	1	Resistor 6.65M 0603	Vishay CRCW06036M65FK		541-6.65MHCT-ND	CRCW06036M65FKEA		51P0313	2138707
R7	1	Resistor 6.19M 0603	Samsung Electro-Mechanics RC1608F6194CS		1276-4977-1-ND	CRCW06036M19FKEA		51P0308	2138703
U1	1	Converter QFN-20	TI BQ25570		296-37014-1-ND	595BQ25570RGRR	8279361	08X4194	2373545
